"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
ONWARDTEC,Onward Technologies Limited,JHM ENTERPRISES PRIVATE LIMITED,Promoter Group,Equity Shares,7797866,34.65,,200000,124098000,Sell,Equity Shares,7597866
ONWARDTEC,Onward Technologies Limited,Jigar Harish Mehta,Promoters,Equity Shares,576299,2.56,,200000,123820000,Sell,Equity Shares,376299
INTELLECT,Intellect Design Arena Limited,SACHIN CHANDRASHEKAR SALIAN,-,Equity Shares,7736,0.01,,7736,5802000,Sell,Equity Shares,Nil
INTELLECT,Intellect Design Arena Limited,SACHIN CHANDRASHEKAR SALIAN,-,Equity Shares,8000,0.01,,264,212784,Sell,Equity Shares,7736
SAPPHIRE,Sapphire Foods India Limited,Sagista Realty Advisors Private Limited (as Trustee of QSR Management Trust),Promoters,Equity Shares,2354385,3.7,,116316,163595116,Sell,Equity Shares,2238069
SAPPHIRE,Sapphire Foods India Limited,Vikrant Vohra,Employees/Designated Employees,Equity Shares,29000,0.05,,1000,1426010,Sell,Equity Shares,28000
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,T G Shilpa Bharath,Promoters,Equity Shares,417408,2.43,,5000,2853440,Sell,Equity Shares,412408
KPITTECH,KPIT Technologies Limited,KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST,Other,Equity Shares,3013689,1.1,,2905,4322988,Sell,Equity Shares,3010784
GODREJCP,Godrej Consumer Products Limited,Pheroza Jamshyed Godrej,Promoter Group,Equity Shares,9640700,0.94,,9640700,0,Sell,Equity Shares,Nil
GODREJCP,Godrej Consumer Products Limited,Navroze Lineage Trust,Promoter Group,Equity Shares,1,0,,4820350,0,Buy,Equity Shares,4820351
GODREJCP,Godrej Consumer Products Limited,Raika Lineage Trust,Promoter Group,Equity Shares,1,0,,4820350,0,Buy,Equity Shares,4820351
CIEINDIA,CIE Automotive India Limited,UM Harikumar,-,Equity Shares,4449,0,,2500,1161618,Sell,Equity Shares,1949
CENTRUM,Centrum Capital Limited,AJAY SHARMA,Employees/Designated Employees,Equity Shares,Nil,0,,100000,2845000,Buy,Equity Shares,100000
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,ZUARI AGRO CHEMICALS LIMITED,Promoters,Equity Shares,64028362,54.03,,500000,58800000,Pledge,Equity Shares,64028362
INDUSTOWER,Indus Towers Limited,Indus Towers Employee Welfare Trust,Other,Equity Shares,322434,0.01,,711000,129613096,Buy,Equity Shares,1033434
LALPATHLAB,Dr. Lal Path Labs Ltd.,Bharath U,Key Managerial Personnel,Equity Shares,21436,0.03,,3000,7584466,Sell,Equity Shares,18436
LALPATHLAB,Dr. Lal Path Labs Ltd.,Bharath U,Key Managerial Personnel,Equity Shares,19936,0.02,,1500,2895075,Buy,Equity Shares,21436
